dataset,n,M,metodo,tiempo
dinamica,200,3500,PD,817.094
dinamica,201,4000,PD,852.731
dinamica,202,4500,PD,872.191
dinamica,203,5000,PD,1051.4
dinamica,204,5500,PD,1204.21
dinamica,205,6000,PD,1281.61
dinamica,206,6500,PD,1402.8
dinamica,207,7000,PD,1581.04
dinamica,208,7500,PD,1593.56
dinamica,209,8000,PD,1805.98
dinamica,210,1000,PD,207.712
dinamica,211,1500,PD,284.043
dinamica,212,2000,PD,430.239
dinamica,213,2500,PD,535.813
dinamica,214,3000,PD,699.729
dinamica,215,3500,PD,806.33
dinamica,216,4000,PD,964.923
dinamica,217,4500,PD,911.635
dinamica,218,5000,PD,1072.4
dinamica,219,5500,PD,1243.78
dinamica,220,6000,PD,1412.78
dinamica,221,6500,PD,1739.42
dinamica,222,7000,PD,1604.76
dinamica,223,7500,PD,1703.23
dinamica,224,8000,PD,1934.5
max-cant,0,1,PD,0.001839
max-cant,0,1,BT,0.001777
max-cant,1,1,PD,0.002184
max-cant,1,1,BT,0.001411
max-cant,2,3,PD,0.00247
max-cant,2,3,BT,0.001664
max-cant,3,5,PD,0.002648
max-cant,3,5,BT,0.001512
max-cant,4,7,PD,0.002626
max-cant,4,7,BT,0.001715
max-cant,5,10,PD,0.00303
max-cant,5,10,BT,0.002048
max-cant,6,14,PD,0.004018
max-cant,6,14,BT,0.001884
max-cant,7,18,PD,0.003829
max-cant,7,18,BT,0.002221
max-cant,8,22,PD,0.005615
max-cant,8,22,BT,0.002152
max-cant,9,27,PD,0.006175
max-cant,9,27,BT,0.002342
max-cant,10,33,PD,0.0075
max-cant,10,33,BT,0.002921
max-cant,11,39,PD,0.007855
max-cant,11,39,BT,0.003809
max-cant,12,45,PD,0.009568
max-cant,12,45,BT,0.003781
max-cant,13,52,PD,0.011591
max-cant,13,52,BT,0.005961
max-cant,14,60,PD,0.010544
max-cant,14,60,BT,0.007531
max-cant,15,68,PD,0.016088
max-cant,15,68,BT,0.010514
max-cant,16,76,PD,0.018706
max-cant,16,76,BT,0.01386
max-cant,17,85,PD,0.020975
max-cant,17,85,BT,0.013219
max-cant,18,95,PD,0.028365
max-cant,18,95,BT,0.024002
max-cant,19,105,PD,0.034471
max-cant,19,105,BT,0.037769
max-cant,20,115,PD,0.04012
max-cant,20,115,BT,0.030971
max-cant,21,126,PD,0.032814
max-cant,21,126,BT,0.060252
max-cant,22,138,PD,0.04369
max-cant,22,138,BT,0.078444
max-cant,23,150,PD,0.052299
max-cant,23,150,BT,0.080206
max-cant,24,162,PD,0.054306
max-cant,24,162,BT,0.192447
max-cant,25,175,PD,0.062612
max-cant,25,175,BT,0.26994
max-cant,26,189,PD,0.069222
max-cant,26,189,BT,0.344017
max-cant,27,203,PD,0.073028
max-cant,27,203,BT,0.851888
max-cant,28,217,PD,0.079093
max-cant,28,217,BT,1.48498
max-cant,29,232,PD,0.086018
max-cant,29,232,BT,1.32221
max-cant,30,248,PD,0.097036
max-cant,30,248,BT,2.03442
max-cant,31,264,PD,0.104338
max-cant,31,264,BT,2.42507
max-cant,32,280,PD,0.099548
max-cant,32,280,BT,5.23552
max-cant,33,297,PD,0.102004
max-cant,33,297,BT,5.55559
max-cant,34,315,PD,0.126241
max-cant,34,315,BT,2.41986
max-cant,35,333,PD,0.119663
max-cant,35,333,BT,9.58769
max-cant,36,351,PD,0.14243
max-cant,36,351,BT,12.2216
max-cant,37,370,PD,0.156818
max-cant,37,370,BT,20.1453
max-cant,38,390,PD,0.161136
max-cant,38,390,BT,51.4216
max-cant,39,410,PD,0.18955
max-cant,39,410,BT,18.7366
max-cant,40,430,PD,0.211667
